Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TSLQ,TSLQ,TSLQ,TSLQ,TSLQ,TSLQ
Date,,,,,,
2022-07-14,243.5697784423828,298.28399658203125,309.7799987792969,298.28399658203125,302.8800048828125,20533
2022-07-15,242.08033752441406,296.4599914550781,300.8999938964844,291.2099914550781,295.20001220703125,48167
2022-07-18,241.49240112304688,295.739990234375,296.68798828125,283.5,292.20001220703125,131583
2022-07-19,236.739990234375,289.9200134277344,299.8800048828125,287.6400146484375,290.2799987792969,85517
2022-07-20,234.6822052001953,287.3999938964844,291.6000061035156,283.5,287.8800048828125,163233
2022-07-21,211.3119659423828,258.7799987792969,278.70001220703125,257.3399963378906,278.1419982910156,364900
2022-07-22,211.10621643066406,258.52801513671875,259.9739990234375,250.1999969482422,254.94000244140625,208517
2022-07-25,214.32022094726562,262.4639892578125,262.9800109863281,256.6860046386719,258.29998779296875,135633
2022-07-26,221.55177307128906,271.32000732421875,273.7799987792969,263.3999938964844,264.239990234375,162300
2022-07-27,208.078369140625,254.82000732421875,268.32000732421875,253.55999755859375,266.1600036621094,179317
2022-07-28,203.3749237060547,249.05999755859375,256.44000244140625,246.9600067138672,249.89999389648438,175333
2022-07-29,191.56732177734375,234.60000610351562,250.6199951171875,233.5800018310547,249.3000030517578,243900
2022-08-01,191.32235717773438,234.3000030517578,236.33999633789062,223.13400268554688,231.4199981689453,488467
2022-08-02,189.3135986328125,231.83999633789062,238.02000427246094,226.13999938964844,237.05999755859375,261083
2022-08-03,185.05108642578125,226.6199951171875,231.60000610351562,225.24000549316406,228.4199981689453,198550
2022-08-04,184.31617736816406,225.72000122070312,228.36000061035156,222.18600463867188,223.86000061035156,127283
2022-08-05,196.51573181152344,240.66000366210938,242.61000061035156,229.02000427246094,230.10000610351562,420017
2022-08-08,193.57608032226562,237.05999755859375,240.0,226.6199951171875,235.25999450683594,209267
2022-08-09,199.79833984375,244.67999267578125,247.97999572753906,237.48599243164062,238.86000061035156,285367
2022-08-10,192.1062469482422,235.25999450683594,244.67999267578125,232.44000244140625,232.67999267578125,334267
2022-08-11,196.9566650390625,241.1999969482422,241.97999572753906,232.0800018310547,233.16000366210938,168700
2022-08-12,187.89276123046875,230.10000610351562,242.4600067138672,230.0399932861328,239.0399932861328,220850
2022-08-15,181.86647033691406,222.72000122070312,229.0800018310547,220.02000427246094,228.47999572753906,247183
