Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,,
2018-01-02,4.929085731506348,4.983749866485596,4.987500190734863,4.862500190734863,4.894499778747559,355616000
2018-01-03,5.253486156463623,5.3117499351501465,5.34250020980835,5.09375,5.102499961853027,914704000
2018-01-04,5.2811808586120605,5.339749813079834,5.451250076293945,5.317249774932861,5.394000053405762,583268000
2018-01-05,5.3259358406066895,5.385000228881836,5.422749996185303,5.2769999504089355,5.354750156402588,580124000
2018-01-08,5.4891252517700195,5.550000190734863,5.625,5.4644999504089355,5.510000228881836,881216000
2018-01-09,5.487640857696533,5.548500061035156,5.5954999923706055,5.466000080108643,5.555500030517578,497000000
2018-01-10,5.530663013458252,5.5920000076293945,5.5954999923706055,5.400000095367432,5.454999923706055,582664000
2018-01-11,5.540555477142334,5.6020002365112305,5.656750202178955,5.580249786376953,5.625,406032000
2018-01-12,5.513355731964111,5.57450008392334,5.624750137329102,5.5335001945495605,5.590000152587891,359916000
2018-01-16,5.442392349243164,5.502749919891357,5.687749862670898,5.417250156402588,5.601250171661377,702348000
2018-01-17,5.556378364562988,5.618000030517578,5.627999782562256,5.422500133514404,5.517499923706055,538408000
2018-01-18,5.549457550048828,5.611000061035156,5.665999889373779,5.566999912261963,5.598499774932861,408632000
2018-01-19,5.689650058746338,5.752749919891357,5.777249813079834,5.675000190734863,5.702250003814697,609380000
2018-01-22,5.778168678283691,5.842249870300293,5.843999862670898,5.702499866485596,5.760749816894531,550944000
2018-01-23,5.907237529754639,5.972750186920166,5.9957499504089355,5.877500057220459,5.896249771118164,475228000
2018-01-24,5.83034086227417,5.894999980926514,6.012249946594238,5.838749885559082,5.97599983215332,579972000
2018-01-25,5.843939781188965,5.908750057220459,5.993750095367432,5.893750190734863,5.949999809265137,409884000
2018-01-26,6.016525745391846,6.083250045776367,6.083499908447266,5.940000057220459,5.953000068664551,516356000
2018-01-29,6.103560924530029,6.171249866485596,6.202750205993652,6.015250205993652,6.06850004196167,455116000
2018-01-30,6.00144100189209,6.067999839782715,6.1605000495910645,5.960249900817871,6.027750015258789,570832000
2018-01-31,6.077598571777344,6.144999980926514,6.231750011444092,6.111249923706055,6.14424991607666,478576000
2018-02-01,5.9465508460998535,6.012499809265137,6.172500133514404,5.951499938964844,5.9629998207092285,519224000
2018-02-02,5.773965835571289,5.8379998207092285,5.949250221252441,5.779250144958496,5.925000190734863,718464000
2018-02-05,5.283900737762451,5.34250020980835,5.830749988555908,5.125,5.675000190734863,1165204000
2018-02-06,5.57764196395874,5.639500141143799,5.642499923706055,5.099999904632568,5.110000133514404,1114800000
2018-02-07,5.657259941101074,5.71999979019165,5.8742499351501465,5.667500019073486,5.739500045776367,802932000
2018-02-08,5.378353118896484,5.438000202178955,5.880499839782715,5.437749862670898,5.8470001220703125,1144000000
2018-02-09,5.7383623123168945,5.802000045776367,5.972249984741211,5.438000202178955,5.956250190734863,1674604000
2018-02-12,5.638221263885498,5.70074987411499,5.88700008392334,5.6257500648498535,5.883999824523926,1093172000
2018-02-13,5.751959800720215,5.8157501220703125,5.862500190734863,5.631249904632568,5.664000034332275,625524000
2018-02-14,5.969299793243408,6.0355000495910645,6.0647501945495605,5.763750076293945,5.775000095367432,744988000
2018-02-15,6.094906806945801,6.162499904632568,6.209249973297119,6.038000106811523,6.119750022888184,698900000
2018-02-16,6.029134273529053,6.0960001945495605,6.25,6.086750030517578,6.135000228881836,637656000
